,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,ticker,strike_price
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,110
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AYI,80
2,2.0,,,,,,,,,MSFT,150
3,,,,,,,,,,AMZN,3000
