,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
95,ADTN,7.054187586234647,12.06,-5.005812413765353,829700.0,0.0,0.0,-0.41507565619944886
96,ADUS,108.76348992609897,97.3,11.463489926098973,193500.0,0.0,0.0,0.11781592935353517
97,ADVM,14.344954811191789,22.88,-8.53504518880821,923300.0,0.0,0.0,-0.37303519181854067
98,ADX,17.12520917626653,15.58,1.54520917626653,258400.0,0.0,0.0,0.09917902286691464
99,ADXN,11.300000000000002,7.28,4.020000000000002,0.0,0.0,0.0,0.5521978021978025
100,ADXS,-2.5595869970594176,0.838,-3.3975869970594177,2166700.0,0.0,0.0,-4.0543997578274675
101,AE,29.580439133560866,28.89,0.6904391335608651,11300.0,0.0,0.0,0.02389889697337712
102,AEB,26.040717826998076,23.64,2.4007178269980756,12100.0,0.0,0.0,0.1015532075718306
103,AEE,82.83055412544434,76.73,6.100554125444333,1245700.0,0.0,0.0,0.07950676561246361
104,AEF,7.494612165134253,6.22,1.2746121651342532,165100.0,0.0,0.0,0.20492156995727545
105,AEFC,26.327769066376668,24.63,1.6977690663766687,65500.0,0.0,0.0,0.06893094057558541
106,AEG,3.802571859682265,3.44,0.3625718596822649,4110600.0,0.0,0.0,0.10539879641926306
107,AEGN,23.71648257941,17.35,6.366482579409997,129900.0,0.0,0.0,0.3669442408881842
108,AEHR,2.186154101513071,1.96,0.22615410151307103,55800.0,0.0,0.0,0.1153847456699342
109,AEIS,75.43861106493105,70.7,4.7386110649310496,365400.0,0.0,0.0,0.06702420176705869
110,AEL,25.28673756394468,27.02,-1.7332624360553197,765600.0,0.0,0.0,-0.06414738845504514
111,AEM,70.23353022805657,57.71,12.523530228056565,1772500.0,0.0,0.0,0.21700797484069598
112,AEMD,-6.920493317774479,1.37,-8.29049331777448,278200.0,0.0,0.0,-6.051454976477722
113,AEO,11.390430709964617,13.06,-1.6695692900353833,12002400.0,0.0,0.0,-0.1278383836167981
114,AEP,104.34998510648887,87.91,16.439985106488876,2179500.0,0.0,0.0,0.18700927205652232
115,AER,67.27969822241471,40.04,27.23969822241471,1553700.0,0.0,0.0,0.6803121434169508
116,AERI,6.179332185126398,15.5,-9.320667814873602,1238300.0,0.0,0.0,-0.6013334074112001
117,AES,19.545569945498116,14.97,4.575569945498115,5488500.0,0.0,0.0,0.3056492949564539
118,AESE,-0.7244405180802875,3.48,-4.204440518080288,443000.0,0.0,0.0,-1.2081725626667494
119,AEY,2.8752921627199477,3.45,-0.5747078372800525,2362100.0,0.0,0.0,-0.16658198182030506
120,AEYE,1.022332271956678,8.93,-7.907667728043322,78200.0,0.0,0.0,-0.8855171028044033
121,AEZS,-0.7369665841073054,1.17,-1.9069665841073054,470900.0,0.0,0.0,-1.6298859693224832
122,AFB,14.551984479616591,13.31,1.2419844796165904,40700.0,0.0,0.0,0.09331213220259883
123,AFC,27.197461739083476,25.9,1.2974617390834773,58100.0,0.0,0.0,0.050095047841060905
124,AFG,116.7241097513583,74.89,41.8341097513583,683600.0,0.0,0.0,0.5586074209021004
125,,,,,,,,
126,AFGC,26.317684210526316,25.05,1.2676842105263155,18500.0,0.0,0.0,0.05060615610883495
127,,,,,,,,
128,AFGH,26.414181651067217,25.75,0.6641816510672172,9300.0,0.0,0.0,0.02579346217736766
129,AFH,-3.7049673645209324,0.42,-4.124967364520932,1342800.0,0.0,0.0,-9.821350867906983
